Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
1,99.3,NIT,228,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Y,Out,154,98
2,98.7,NIT,226,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Y,Out,18,43
3,98.0,NIT,211,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Y,Out,24,
4,97.8,NIT,228,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Out,,119
5,97.4,NIT,223,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Y,Out,57,118
6,96.8,NIT,206,National Institute of Technology Calicut,4110,Computer Science and Engineering,Y,Out,98,134
7,96.1,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Y,Out,122,281
8,95.8,NIT,228,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Y,Reach,283,
9,95.5,NIT,211,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Y,Out,,71
10,95.5,NIT,211,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Y,Out,,
11,95.5,NIT,202,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Y,Out,74,138
12,94.9,NIT,223,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Y,Out,,
13,94.8,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Y,Out,79,148
14,94.6,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),Y,No-data,,
15,94.2,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Y,Out,175,163
16,93.9,NIT,223,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,-,No-data,,
17,93.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Y,Reach,,795
18,93.3,NIT,228,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Y,Out,,528
19,93.0,NIT,202,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,-,Out,,
20,92.8,NIT,208,National Institute of Technology Durgapur,4110,Computer Science and Engineering,Y,Out,162,406
21,92.6,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,-,No-data,,
22,92.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,Y,Out,136,253
23,92.0,NIT,202,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,Y,No-data,,
24,91.8,NIT,228,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Y,Out,155,
25,91.7,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,Y,Out,183,430
26,91.7,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,Y,Out,,473
27,91.5,NIT,220,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,Y,Out,,93
28,91.5,NIT,220,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,Y,Out,,
29,91.3,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,Y,No-data,,
30,91.2,NIT,226,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Y,Out,80,183
31,90.9,NIT,219,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,Y,Out,114,294
32,90.7,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,Y,Reach,306,
33,90.5,NIT,211,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Y,Out,,
34,90.2,NIT,224,"National Institute of Technology, Silchar",4110,Computer Science and Engineering,Y,Out,220,259
35,90.0,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,Y,No-data,,
36,89.9,NIT,223,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Y,Out,,232
37,89.7,NIT,203,Maulana Azad National Institute of Technology Bhopal,520F,Mathematics and Data Science,-,Out,,
